TimeTracked,SpeedLimit,MPH,Slow,Color,Student,Location,
"Monday, April 7, 2025",30,31,N,Maroon ,Grant ,30th,
"Monday, April 7, 2025",30,26,N,Silver,Grant ,30th,
"Monday, April 7, 2025",30,31,N,Red ,Grant ,30th,
"Monday, April 7, 2025",30,38,N,Black,Grant ,30th,
"Monday, April 7, 2025",30,30,N,Red ,Grant ,30th,
"Monday, April 7, 2025",30,36,N,Black,Grant ,30th,
"Monday, April 7, 2025",30,28,N,White,Grant ,30th,
"Monday, April 7, 2025",30,15,Y,PublicSafety,Grant ,30th,
"Monday, April 7, 2025",30,33,N,Grey,Grant ,30th,
"Monday, April 7, 2025",30,30,N,Grey,Grant ,30th,
"Monday, April 7, 2025",30,31,N,Grey,Grant ,30th,
"Monday, April 7, 2025",30,31,N,Tan,Grant ,30th,
"Monday, April 7, 2025",30,35,N,Blue,Grant ,30th,
"Monday, April 7, 2025",30,38,Y,Black,Grant ,30th,
"Monday, April 7, 2025",30,39,N,Black,Grant ,30th,
"Monday, April 7, 2025",30,34,Y,Black,Grant ,30th,
"Monday, April 7, 2025",30,30,N,Red ,Grant ,30th,
"Monday, April 7, 2025",30,28,N,Blue,Grant ,30th,
"Monday, April 7, 2025",30,32,N,White,Grant ,30th,
"Monday, April 7, 2025",30,28,Y,Brown,Grant ,30th,
"Monday, April 7, 2025",30,31,N,Red ,Grant ,30th,
"Monday, April 7, 2025",30,30,N,Red ,Grant ,30th,
"Monday, April 7, 2025",30,35,Y,Red ,Grant ,30th,
"Monday, April 7, 2025",30,34,Y,Silver,Grant ,30th,
"Monday, April 7, 2025",30,35,N,Black,Grant ,30th,
"Monday, April 7, 2025",30,29,N,Green,Grant ,30th,
"Monday, April 7, 2025",30,26,N,Grey,Grant ,30th,
"Monday, April 7, 2025",30,28,N,Blue,Grant ,30th,
"Monday, April 7, 2025",30,34,Y,Black,Grant ,30th,
"Monday, April 7, 2025",30,26,Y,Red ,Grant ,30th,
"Monday, April 7, 2025",30,31,N,White,Grant ,30th,
"Monday, April 7, 2025",30,35,Y,Black,Grant ,30th,
"Monday, April 7, 2025",30,28,Y,Silver,Grant ,30th,
"Monday, April 7, 2025",30,36,N,Grey,Grant ,30th,
"Monday, April 7, 2025",30,29,Y,Silver,Grant ,30th,
"Monday, April 7, 2025",30,24,N,Blue,Grant ,30th,
"Monday, April 7, 2025",30,24,N,Green,Grant ,30th,
