Initial_Speed,Final_Speed,Difference,Body_Style
12,34,-22,Sedan
40,36,4,Truck
26,34,-8,Sedan
30,34,-4,Suv
32,31,1,Truck
27,30,-3,Suv
28,29,-1,Suv
28,32,-4,Suv
31,30,1,Truck
30,34,-4,Sedan
15,30,-15,Sedan
31,33,-2,Truck
34,34,0,Sedan
31,31,0,Sedan
12,29,-17,Sedan
14,33,-19,Suv
29,28,1,Suv
27,31,-4,Suv
26,35,-9,Suv
34,35,-1,Sedan
20,30,-10,Suv
11,30,-19,Truck
36,38,-2,Truck
33,33,0,Suv
31,37,-6,Sedan
14,26,-12,Truck
25,25,0,Suv
31,33,-2,Suv
27,28,-1,Suv
33,34,-1,Suv
36,34,2,Suv
20,26,-6,Sedan
34,36,-2,Sedan
19,28,-9,Truck
28,33,-5,Sedan
38,37,1,Suv
30,34,-4,Suv
20,32,-12,Suv
26,35,-9,Sedan
29,30,-1,Suv
28,27,1,Suv
27,30,-3,Sedan
27,27,0,Truck
33,34,-1,Suv
34,34,0,Sedan
34,35,-1,Truck
21,23,-2,Suv
19,31,-12,Sedan
41,40,1,Suv
21,34,-13,Sedan
25,28,-3,Suv
37,37,0,Sedan
31,31,0,Suv
27,28,-1,Suv
36,40,-4,Suv
28,38,-10,Suv
19,24,-5,Suv
25,26,-1,Suv
32,33,-1,Sedan
36,36,0,Suv
23,29,-6,Truck
19,30,-11,Truck
25,26,-1,Suv
21,25,-4,Suv
30,30,0,Suv
29,27,2,Sedan
25,27,-2,Truck
28,30,-2,Suv
30,31,-1,Sedan
35,37,-2,Suv
32,33,-1,Suv
25,27,-2,Suv
26,26,0,Suv
28,30,-2,Suv
27,32,-5,Suv
33,34,-1,Suv
20,25,-5,Truck
25,29,-4,Sedan
32,32,0,Truck
35,36,-1,Sedan
22,30,-8,Suv
18,24,-6,Suv
37,39,-2,Truck
24,26,-2,Suv
26,26,0,Truck
19,20,-1,Sedan
27,33,-6,Suv
29,32,-3,Sedan
34,30,4,Truck
13,28,-15,Suv
25,25,0,Sedan
28,31,-3,Truck
32,35,-3,Suv
16,22,-6,Sedan
38,37,1,Suv
30,28,2,Truck
24,27,-3,Suv
31,34,-3,Sedan
36,39,-3,Truck
14,23,-9,Sedan
22,26,-4,Suv
34,34,0,Truck
20,29,-9,Sedan
39,40,-1,Suv
33,35,-2,Suv
26,28,-2,Sedan
19,24,-5,Truck
35,33,2,Sedan
18,25,-7,Suv
30,31,-1,Truck
23,23,0,Sedan
16,20,-4,Suv
36,38,-2,Suv
25,28,-3,Truck
31,33,-2,Suv
21,30,-9,Truck
37,36,1,Sedan
14,29,-15,Sedan
28,26,2,Truck
33,37,-4,Suv
29,32,-3,Suv
10,25,-15,Truck
34,34,0,Sedan
20,28,-8,Suv
40,39,1,Truck
26,30,-4,Sedan
16,27,-11,Truck
31,32,-1,Suv
14,20,-6,Sedan
29,33,-4,Suv
36,37,-1,Truck
20,24,-4,Sedan
24,25,-1,Truck
28,28,0,Suv
37,39,-2,Suv
15,28,-13,Truck
30,29,1,Sedan
26,32,-6,Suv
21,27,-6,Suv
34,34,0,Sedan
29,35,-6,Truck
40,38,2,Suv
18,23,-5,Truck
32,32,0,Sedan
25,31,-6,Suv
33,36,-3,Truck
14,26,-12,Sedan
28,29,-1,Truck
19,24,-5,Sedan
27,27,0,Suv
35,38,-3,Sedan
15,28,-13,Suv
40,37,3,Truck
22,30,-8,Sedan
31,32,-1,Suv
27,29,-2,Truck
25,25,0,Suv
36,35,1,Sedan
29,31,-2,Sedan
14,34,-20,Truck
24,28,-4,Sedan
32,30,2,Truck
18,27,-9,Sedan
39,36,3,Suv
28,33,-5,Suv
20,23,-3,Truck
25,29,-4,Sedan
31,28,3,Suv
30,34,-4,Suv
21,26,-5,Sedan
29,32,-3,Truck
35,35,0,Suv
26,25,1,Suv
34,34,0,Sedan
33,36,-3,Truck
17,27,-10,Sedan
36,39,-3,Suv
38,37,1,Truck
23,28,-5,Sedan
28,26,2,Suv
30,30,0,Suv
40,42,-2,Truck
19,25,-6,Sedan
26,31,-5,Truck
34,34,0,Suv
16,29,-13,Suv
24,28,-4,Truck
37,37,0,Sedan
29,34,-5,Suv
20,26,-6,Truck
25,28,-3,Sedan
34,32,2,Suv
39,40,-1,Suv
21,24,-3,Truck
28,31,-3,Sedan
31,35,-4,Truck
36,36,0,Suv
27,27,0,Sedan
33,34,-1,Suv
30,29,1,Truck
22,28,-6,Suv
35,37,-2,Truck
24,24,0,Sedan
32,35,-3,Suv
14,29,-15,Sedan
28,30,-2,Truck
26,28,-2,Suv
36,39,-3,Suv
17,25,-8,Sedan
29,27,2,Truck
40,41,-1,Sedan
30,34,-4,Suv
24,25,-1,Suv
38,35,3,Truck
19,24,-5,Suv
21,21,0,Sedan
35,38,-3,Truck
28,33,-5,Suv
14,20,-6,Sedan
27,28,-1,Truck
31,34,-3,Suv
40,38,2,Sedan
23,25,-2,Suv
16,26,-10,Suv
29,31,-2,Truck
