"hour","Day","trips"
0,1,3017
0,2,2335
0,3,3150
0,4,2734
0,5,2660
0,6,4200
0,7,3443
0,8,2709
0,9,2557
0,10,3144
0,11,2844
0,12,3064
0,13,4949
0,14,3535
0,15,2383
0,16,2434
0,17,3025
0,18,3197
0,19,3094
0,20,4229
0,21,3957
0,22,2664
0,23,2461
0,24,3086
0,25,2327
0,26,3582
0,27,4808
0,28,3894
0,29,2588
0,30,2338
0,31,2098
1,1,1862
1,2,1519
1,3,2034
1,4,1620
1,5,1496
1,6,2637
1,7,2179
1,8,1576
1,9,1671
1,10,2026
1,11,1584
1,12,2031
1,13,3174
1,14,2221
1,15,1451
1,16,1535
1,17,1972
1,18,1977
1,19,2077
1,20,3014
1,21,2946
1,22,1576
1,23,1523
1,24,1977
1,25,1449
1,26,2800
1,27,3350
1,28,2505
1,29,1750
1,30,1477
1,31,1358
2,1,1224
2,2,1056
2,3,1359
2,4,1144
2,5,993
2,6,1761
2,7,1457
2,8,1085
2,9,1182
2,10,1416
2,11,1067
2,12,1333
2,13,2119
2,14,1516
2,15,1051
2,16,1090
2,17,1454
2,18,1262
2,19,1524
2,20,1983
2,21,1861
2,22,1145
2,23,1093
2,24,1401
2,25,1046
2,26,1880
2,27,2208
2,28,1781
2,29,1338
2,30,1094
2,31,1050
3,1,1283
3,2,1380
3,3,1433
3,4,1364
3,5,1227
3,6,1509
3,7,1556
3,8,1454
3,9,1450
3,10,1410
3,11,1406
3,12,1334
3,13,1786
3,14,1625
3,15,1355
3,16,1373
3,17,1453
3,18,1580
3,19,1640
3,20,1786
3,21,1692
3,22,1440
3,23,1409
3,24,1458
3,25,1415
3,26,1737
3,27,1970
3,28,1739
3,29,1630
3,30,1379
3,31,900
4,1,1387
4,2,1809
4,3,1514
4,4,1644
4,5,1584
4,6,1503
4,7,1689
4,8,1845
4,9,1810
4,10,1564
4,11,1791
4,12,1712
4,13,1672
4,14,1719
4,15,1803
4,16,1781
4,17,1854
4,18,1840
4,19,1751
4,20,1572
4,21,1847
4,22,1862
4,23,1907
4,24,1760
4,25,1870
4,26,1679
4,27,1681
4,28,1801
4,29,1884
4,30,1790
4,31,763
5,1,2055
5,2,2638
5,3,2294
5,4,2463
5,5,2794
5,6,2073
5,7,2321
5,8,3090
5,9,3054
5,10,2517
5,11,2453
5,12,2608
5,13,2261
5,14,2536
5,15,2875
5,16,2844
5,17,2642
5,18,2830
5,19,2532
5,20,2081
5,21,2494
5,22,3035
5,23,3001
5,24,2664
5,25,2883
5,26,2269
5,27,2223
5,28,2662
5,29,2926
5,30,3090
5,31,986
6,1,3519
6,2,4642
6,3,4064
6,4,4369
6,5,4598
6,6,3512
6,7,3897
6,8,5147
6,9,5462
6,10,4432
6,11,4719
6,12,4370
6,13,4049
6,14,4072
6,15,4775
6,16,5223
6,17,4362
6,18,4457
6,19,4506
6,20,3454
6,21,3990
6,22,4921
6,23,4952
6,24,4285
6,25,5074
6,26,3650
6,27,3375
6,28,4067
6,29,4941
6,30,5447
6,31,1542
7,1,5167
7,2,6178
7,3,5420
7,4,5771
7,5,5939
7,6,4609
7,7,5317
7,8,6989
7,9,7141
7,10,5793
7,11,6491
7,12,5933
7,13,5439
7,14,5503
7,15,6478
7,16,7011
7,17,5974
7,18,6253
7,19,5886
7,20,4716
7,21,5476
7,22,6500
7,23,6536
7,24,5765
7,25,7247
7,26,4964
7,27,4745
7,28,5446
7,29,6468
7,30,7172
7,31,2143
8,1,5103
8,2,5961
8,3,5167
8,4,5444
8,5,6153
8,6,4755
8,7,5123
8,8,6953
8,9,7115
8,10,5893
8,11,6510
8,12,5927
8,13,5815
8,14,5271
8,15,6351
8,16,7044
8,17,5618
8,18,6140
8,19,5741
8,20,4912
8,21,5299
8,22,6518
8,23,6072
8,24,5652
8,25,6730
8,26,4895
8,27,4885
8,28,5421
8,29,6371
8,30,7226
8,31,2376
9,1,4458
9,2,4490
9,3,4474
9,4,4568
9,5,5298
9,6,4276
9,7,4438
9,8,5478
9,9,5624
9,10,4915
9,11,5170
9,12,4936
9,13,5423
9,14,4652
9,15,4963
9,16,5677
9,17,4750
9,18,5112
9,19,4836
9,20,4620
9,21,4521
9,22,4977
9,23,4965
9,24,4969
9,25,5722
9,26,4642
9,27,4572
9,28,4988
9,29,5224
9,30,5803
9,31,2489
10,1,4451
10,2,4594
10,3,4638
10,4,4564
10,5,4968
10,6,4648
10,7,4732
10,8,5094
10,9,5177
10,10,4814
10,11,5025
10,12,4942
10,13,5234
10,14,4669
10,15,5132
10,16,5360
10,17,4839
10,18,4950
10,19,4925
10,20,4955
10,21,4714
10,22,5083
10,23,4897
10,24,4771
10,25,5249
10,26,4905
10,27,5033
10,28,5023
10,29,5021
10,30,5757
10,31,2520
11,1,4576
11,2,4801
11,3,4902
11,4,4774
11,5,4841
11,6,4991
11,7,5013
11,8,5167
11,9,5241
11,10,5231
11,11,5214
11,12,5122
11,13,5513
11,14,4941
11,15,5261
11,16,5242
11,17,5123
11,18,5260
11,19,5059
11,20,5465
11,21,5009
11,22,5141
11,23,5121
11,24,5124
11,25,5306
11,26,4999
11,27,5518
11,28,5289
11,29,4982
11,30,5853
11,31,2730
12,1,4732
12,2,4984
12,3,5167
12,4,4988
12,5,4893
12,6,5242
12,7,5174
12,8,5278
12,9,5314
12,10,5322
12,11,5257
12,12,5319
12,13,5685
12,14,4938
12,15,5268
12,16,5298
12,17,5413
12,18,5263
12,19,5372
12,20,5550
12,21,5254
12,22,5281
12,23,5307
12,24,5049
12,25,5452
12,26,5173
12,27,5630
12,28,5263
12,29,5032
12,30,6143
12,31,2892
13,1,5523
13,2,5464
13,3,5847
13,4,5938
13,5,5485
13,6,5964
13,7,5964
13,8,6028
13,9,6149
13,10,6253
13,11,6158
13,12,6186
13,13,6376
13,14,5488
13,15,6678
13,16,5915
13,17,6219
13,18,6066
13,19,6080
13,20,6359
13,21,5813
13,22,6039
13,23,5962
13,24,5756
13,25,5992
13,26,5928
13,27,6537
13,28,5880
13,29,5989
13,30,6907
13,31,3220
14,1,6499
14,2,6493
14,3,6850
14,4,6736
14,5,6552
14,6,6836
14,7,6834
14,8,6811
14,9,7372
14,10,7158
14,11,7016
14,12,7244
14,13,7654
14,14,6512
14,15,7209
14,16,7054
14,17,7013
14,18,7043
14,19,6946
14,20,7055
14,21,6577
14,22,6877
14,23,7183
14,24,6683
14,25,6887
14,26,6899
14,27,7172
14,28,6938
14,29,7194
14,30,7903
14,31,3979
15,1,7403
15,2,7892
15,3,8338
15,4,7996
15,5,7784
15,6,8117
15,7,7955
15,8,8171
15,9,8606
15,10,8940
15,11,8266
15,12,8727
15,13,8647
15,14,7679
15,15,7926
15,16,8579
15,17,8330
15,18,8433
15,19,8339
15,20,8092
15,21,7563
15,22,8501
15,23,8673
15,24,8124
15,25,8185
15,26,8273
15,27,8261
15,28,8022
15,29,8574
15,30,9454
15,31,4919
16,1,8066
16,2,9387
16,3,9545
16,4,8809
16,5,8894
16,6,8825
16,7,9632
16,8,9061
16,9,9491
16,10,10159
16,11,9285
16,12,9930
16,13,9759
16,14,8807
16,15,9365
16,16,9885
16,17,9451
16,18,9493
16,19,9216
16,20,8816
16,21,8815
16,22,9789
16,23,9332
16,24,9583
16,25,9248
16,26,9291
16,27,9178
16,28,9022
16,29,9345
16,30,10562
16,31,5208
17,1,8798
17,2,10316
17,3,9659
17,4,9585
17,5,9978
17,6,9293
17,7,10178
17,8,9911
17,9,11004
17,10,10956
17,11,10022
17,12,10803
17,13,10935
17,14,9397
17,15,10881
17,16,10756
17,17,10280
17,18,9878
17,19,9979
17,20,9424
17,21,9148
17,22,10093
17,23,9619
17,24,9988
17,25,9776
17,26,10040
17,27,9200
17,28,9316
17,29,10239
17,30,11153
17,31,5123
18,1,7987
18,2,10377
18,3,10342
18,4,9470
18,5,9544
18,6,8710
18,7,9807
18,8,9024
18,9,10580
18,10,10152
18,11,9524
18,12,11290
18,13,10634
18,14,8885
18,15,10751
18,16,10049
18,17,10171
18,18,9615
18,19,9729
18,20,8722
18,21,8710
18,22,9215
18,23,10142
18,24,9113
18,25,9955
18,26,10185
18,27,8754
18,28,8607
18,29,9655
18,30,11578
18,31,5183
19,1,7397
19,2,8863
19,3,8928
19,4,8486
19,5,8921
19,6,7862
19,7,8784
19,8,8186
19,9,9182
19,10,8966
19,11,8653
19,12,9672
19,13,9227
19,14,8433
19,15,10039
19,16,10020
19,17,9074
19,18,8889
19,19,9116
19,20,8090
19,21,7754
19,22,8335
19,23,10584
19,24,8466
19,25,8500
19,26,9458
19,27,7786
19,28,7734
19,29,8628
19,30,10194
19,31,4722
20,1,6806
20,2,8215
20,3,8358
20,4,7768
20,5,8743
20,6,7569
20,7,8078
20,8,7984
20,9,8376
20,10,8897
20,11,8102
20,12,9268
20,13,8110
20,14,8442
20,15,9511
20,16,9378
20,17,9013
20,18,8523
20,19,9295
20,20,7973
20,21,7515
20,22,8107
20,23,10598
20,24,8511
20,25,8150
20,26,9154
20,27,7425
20,28,7717
20,29,8525
20,30,9974
20,31,4653
21,1,7148
21,2,7790
21,3,7833
21,4,7962
21,5,8862
21,6,7899
21,7,7807
21,8,7770
21,9,8073
21,10,8480
21,11,7987
21,12,9377
21,13,7775
21,14,7905
21,15,8252
21,16,9413
21,17,8903
21,18,8554
21,19,9281
21,20,8039
21,21,7594
21,22,7744
21,23,9515
21,24,8091
21,25,8762
21,26,9606
21,27,7899
21,28,7300
21,29,8309
21,30,9265
21,31,4841
22,1,5797
22,2,6487
22,3,6546
22,4,7084
22,5,8170
22,6,7255
22,7,6611
22,8,6290
22,9,6972
22,10,7111
22,11,7107
22,12,9056
22,13,6743
22,14,6342
22,15,6542
22,16,7458
22,17,7532
22,18,7395
22,19,8445
22,20,7241
22,21,6713
22,22,6285
22,23,7940
22,24,6875
22,25,7890
22,26,8761
22,27,7188
22,28,5906
22,29,6503
22,30,7690
22,31,4848
23,1,3790
23,2,4760
23,3,4286
23,4,4847
23,5,6045
23,6,5554
23,7,4497
23,8,4023
23,9,4897
23,10,5046
23,11,4991
23,12,7192
23,13,5539
23,14,4158
23,15,4169
23,16,5039
23,17,5246
23,18,5143
23,19,6257
23,20,5511
23,21,4823
23,22,4280
23,23,5212
23,24,4211
23,25,6143
23,26,7029
23,27,5649
23,28,4167
23,29,4053
23,30,4488
23,31,3749
