"Month","Day","trips"
"Apr",1,12863
"Apr",2,15085
"Apr",3,17453
"Apr",4,22102
"Apr",5,16903
"Apr",6,11639
"Apr",7,16474
"Apr",8,14171
"Apr",9,14674
"Apr",10,16996
"Apr",11,17463
"Apr",12,15751
"Apr",13,10762
"Apr",14,11227
"Apr",15,17372
"Apr",16,15312
"Apr",17,17772
"Apr",18,15709
"Apr",19,12980
"Apr",20,9663
"Apr",21,11368
"Apr",22,14428
"Apr",23,17058
"Apr",24,19073
"Apr",25,20850
"Apr",26,20496
"Apr",27,12547
"Apr",28,13363
"Apr",29,18708
"Apr",30,27567
"Aug",1,28042
"Aug",2,25097
"Aug",3,19823
"Aug",4,21606
"Aug",5,24218
"Aug",6,26149
"Aug",7,27718
"Aug",8,26461
"Aug",9,23317
"Aug",10,17901
"Aug",11,19780
"Aug",12,25563
"Aug",13,25687
"Aug",14,26051
"Aug",15,25214
"Aug",16,23075
"Aug",17,18456
"Aug",18,19184
"Aug",19,21784
"Aug",20,24155
"Aug",21,27388
"Aug",22,25501
"Aug",23,23743
"Aug",24,19011
"Aug",25,19292
"Aug",26,21432
"Aug",27,23344
"Aug",28,24480
"Aug",29,23789
"Aug",30,21249
"Aug",31,20346
"Jul",1,18755
"Jul",2,23019
"Jul",3,19200
"Jul",4,12972
"Jul",5,10065
"Jul",6,9733
"Jul",7,16033
"Jul",8,22484
"Jul",9,24076
"Jul",10,26085
"Jul",11,25146
"Jul",12,22895
"Jul",13,18396
"Jul",14,23439
"Jul",15,28369
"Jul",16,24639
"Jul",17,26135
"Jul",18,25974
"Jul",19,22500
"Jul",20,18237
"Jul",21,20514
"Jul",22,24880
"Jul",23,28820
"Jul",24,27123
"Jul",25,26037
"Jul",26,24315
"Jul",27,19475
"Jul",28,20777
"Jul",29,24069
"Jul",30,26280
"Jul",31,28404
"Jun",1,13552
"Jun",2,14840
"Jun",3,18681
"Jun",4,19055
"Jun",5,23055
"Jun",6,20701
"Jun",7,18109
"Jun",8,13449
"Jun",9,19343
"Jun",10,19145
"Jun",11,21089
"Jun",12,23896
"Jun",13,25582
"Jun",14,16810
"Jun",15,12317
"Jun",16,15150
"Jun",17,18350
"Jun",18,20446
"Jun",19,22997
"Jun",20,20576
"Jun",21,17340
"Jun",22,13830
"Jun",23,15170
"Jun",24,17724
"Jun",25,21804
"Jun",26,23361
"Jun",27,21249
"Jun",28,18463
"Jun",29,14544
"Jun",30,16200
"May",1,19205
"May",2,20112
"May",3,18701
"May",4,11656
"May",5,15113
"May",6,16206
"May",7,17986
"May",8,22104
"May",9,21490
"May",10,18968
"May",11,12614
"May",12,14569
"May",13,16445
"May",14,18250
"May",15,21255
"May",16,25820
"May",17,18953
"May",18,13728
"May",19,15261
"May",20,17359
"May",21,19298
"May",22,21807
"May",23,21801
"May",24,13023
"May",25,9870
"May",26,8657
"May",27,14465
"May",28,18399
"May",29,20454
"May",30,20402
"May",31,18236
"Sep",1,16670
"Sep",2,24246
"Sep",3,27556
"Sep",4,31584
"Sep",5,34945
"Sep",6,33747
"Sep",7,25328
"Sep",8,25625
"Sep",9,28807
"Sep",10,29655
"Sep",11,28287
"Sep",12,30793
"Sep",13,33316
"Sep",14,22541
"Sep",15,23334
"Sep",16,27864
"Sep",17,27435
"Sep",18,32217
"Sep",19,33979
"Sep",20,32459
"Sep",21,23518
"Sep",22,24008
"Sep",23,25850
"Sep",24,26675
"Sep",25,31791
"Sep",26,31569
"Sep",27,33209
"Sep",28,24819
"Sep",29,24599
"Sep",30,28235
