"Month","Week","trips"
"Apr",13,12863
"Apr",14,77983
"Apr",15,73491
"Apr",16,68860
"Apr",17,81385
"Apr",18,27567
"Aug",31,92870
"Aug",32,118162
"Aug",33,114537
"Aug",34,115031
"Aug",35,89581
"Jul",26,18755
"Jul",27,87194
"Jul",28,116937
"Jul",29,114923
"Jul",30,119119
"Jul",31,49676
"Jun",22,40366
"Jun",23,88927
"Jun",24,89114
"Jun",25,87494
"Jun",26,83724
"May",18,71435
"May",19,82593
"May",20,85509
"May",21,76763
"May",22,60113
"Sep",35,38396
"Sep",36,136531
"Sep",37,122848
"Sep",38,131996
"Sep",39,135922
