"Base","Day_of_Week","trips"
"B02512","Friday",22781
"B02512","Monday",25665
"B02512","Saturday",17304
"B02512","Sunday",21022
"B02512","Thursday",27327
"B02512","Tuesday",26587
"B02512","Wednesday",28111
"B02598","Friday",115087
"B02598","Monday",109155
"B02598","Saturday",90813
"B02598","Sunday",96177
"B02598","Thursday",121736
"B02598","Tuesday",112601
"B02598","Wednesday",118735
"B02617","Friday",125441
"B02617","Monday",120813
"B02617","Saturday",103077
"B02617","Sunday",107458
"B02617","Thursday",132147
"B02617","Tuesday",122610
"B02617","Wednesday",128619
"B02682","Friday",102550
"B02682","Monday",98618
"B02682","Saturday",81003
"B02682","Sunday",86999
"B02682","Thursday",110326
"B02682","Tuesday",102529
"B02682","Wednesday",107592
"B02764","Friday",36269
"B02764","Monday",32518
"B02764","Saturday",27078
"B02764","Sunday",27460
"B02764","Thursday",34682
"B02764","Tuesday",28796
"B02764","Wednesday",32529
