"Base","Month","Trip_Count"
"B02512","Apr",35536
"B02512","May",36765
"B02512","Jun",32509
"B02512","Jul",35021
"B02512","Aug",31472
"B02512","Sep",34370
"B02598","Apr",183263
"B02598","May",260549
"B02598","Jun",242975
"B02598","Jul",245597
"B02598","Aug",220129
"B02598","Sep",240600
"B02617","Apr",108001
"B02617","May",122734
"B02617","Jun",184460
"B02617","Jul",310160
"B02617","Aug",355803
"B02617","Sep",377695
"B02682","Apr",227808
"B02682","May",222883
"B02682","Jun",194926
"B02682","Jul",196754
"B02682","Aug",173280
"B02682","Sep",197138
"B02764","Apr",9908
"B02764","May",9504
"B02764","Jun",8974
"B02764","Jul",8589
"B02764","Aug",48591
"B02764","Sep",178333
